"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","SO4","Alkalinity","Si","Altitude","Fe","erosion_prop","secchi_m","lake_catch_ratio","mix_event","waterT"
"Achnanthidium.affine.Altitude+erosion_prop+Mg","Altitude+erosion_prop+Mg","s(Altitude, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",238.152367195043,247.301469761725,0.37329,NA,17,7,12.105,12.054,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"Achnanthidium.affine.erosion_prop+Mg+secchi_m","erosion_prop+Mg+secchi_m","s(erosion_prop, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",238.416977536279,247.566080102961,0.44555,NA,17,8,12.37,12.319,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"Achnanthidium.affine.Fe+secchi_m","Fe+secchi_m","s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",238.509181443645,247.709096530671,0.12009,NA,13,5,12.462,12.462,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Achnanthidium.affine.Fe+Si","Fe+Si","s(Fe, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",238.549315261182,247.749230348207,0.20067,NA,13,5,12.502,12.502,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Achnanthidium.affine.erosion_prop+Mg+mix_event","erosion_prop+Mg+mix_event","s(erosion_prop, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",238.622915377813,247.772017944495,0.37835,NA,17,6,12.575,12.525,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"Achnanthidium.affine.Alkalinity+Fe+waterT","Alkalinity+Fe+waterT","s(Alkalinity, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",238.645842360955,247.794944927637,0.23431,NA,17,7,12.598,12.548,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"Achnanthidium.affine.Alkalinity+Fe+Si","Alkalinity+Fe+Si","s(Alkalinity, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",238.702426810264,247.851529376946,0.18969,NA,17,7,12.655,12.604,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"Achnanthidium.affine.Mg+secchi_m","Mg+secchi_m","s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",238.808344978755,248.008260065781,0.1108,NA,13,4,12.761,12.761,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Achnanthidium.affine.Ca+secchi_m+Si","Ca+secchi_m+Si","s(Ca, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",238.837071596074,247.986174162756,0.23256,NA,17,6,12.79,12.739,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"Achnanthidium.affine.Si+waterT","Si+waterT","s(Si, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",239.018271403984,248.218186491009,0.20545,NA,13,4,12.971,12.971,0,0,0,0,0,0,1,0,0,0,0,0,0,1
